,file_contents
3083,"hand. the dog didn’t care, and no one else was really around.
"
3084,"“t think only some villagers use it on special days. but i like it here,” neha said, leaning
"
3085,"against me.
"
3086,"we kissed, i don’t really know who started it. that is the cool thing about having a steady
"
3087,"girlfriend. you don’t have to struggle every time you want to kiss. but that was the farthest
"
3088,"you could go with neha. i put my hand on her shoulder for support. then 1n a completely
"
3089,"planned but seemingly unintentional manner i let it slip down toward her chest. maybe this
"
3090,"time her reflexes wouldn’t be as strong.
"
3091,"“no!” neha said the moment it got interesting. she pushed me away and sat up.
"
3092,"“you are so beautiful,” i said, trying to be as mellow as possible.
"
3093,"“shut up,” she said and giggled, “your corny lines aren’t going to get you anywhere. have
"
3094,"some shame, we are near a temple.”
"
3095,"yeah right, i thought. as if kissing next to a temple was okay but somehow the classic
"
3096,"“slide the hand carelessly down’ was not. neha, i tell you, is the queen of contradictions.
"
3097,"i tried to get close to her again, it was useless to argue.
"
3098,"“just kisses. you know this 1s wrong,” she warned.
"
3099,"we did our making out, or rather me-trying-to-make-out routine for half an hour, after
"
3100,"which she had to go home or something. we stood up, threw the dog a last glance and started
"
3101,"walking back.
"
3102,"“do you know my brother died on those tracks?” she said.
"
3103,"i hadn’t really heard much about how her brother died. gory stories kind of just put me
"
3104,"off but i guess guys have to listen to their girlfriends. “really? no, i didn’t know. how did
"
3105,"it happen?”
"
3106,"“t still remember the date, may 11. bhaiyya had gone for a jog. we got the call mid-
"
3107,"morning. i mean, dad got the call. he told us only in the evening and i ... wasn’t even
"
3108,"allowed to go see the body.” her voice began to quiver.
"
3109,"we were nearing the village, so i wasn’t sure if i should let her cry on my shoulder. but
"
3110,"she herself chose to, and i couldn’t do much.
"
3111,"“neha, it’s okay,” i said, conscious of two urchins staring at us. the only time they had
"
3112,"probably seen a guy and a girl embrace was on screen.
"
3113,"she only moved away from me when the number of kids watching us had gone up to eight.
"
3114,"“wow, now where did they come from?” she wiped her eyes. the eight kids, mostly
"
3115,"naked, looked at us intently as if they were watching a film.
"
3116,"“see, she is a heroine,” i said to the kids.
"
3117,"“raveena tandon,” said a three-year old in the crowd.
"
3118,"neha started to laugh, much to my relief, given her moods tended to be long.
"
3119,"we walked further, until we came close enough to campus where we adopted separate
"
3120,"paths.
"
3121,"“perhaps i can introduce you as his course topper to him some day.” she winked, walking
"
3122,"ahead.
"
3123,"i waited the prescribed five minutes and then headed for campus. was i in love with her?
"
3124,"i kicked a pebble out of my way; if only she wouldn’t be so good all the time!
"
3125," 
"
3126,"14
"
3127,"vodka
"
3128,"alok returned hyper-harried from home.
"
3129,"“how are your dad and mom?” i asked, alerted by his unusual silence at sasi’s, not even
"
3130,"asking what the daily specials were.
"
3131,"“miserable as usual. there was another big drama at home last weekend. there’s yet
"
3132,"another suitable match for my sister but we can’t cough up the suitable money. hence, either
"
3133,"we say no or sign ious, meaning give it later when i pass out of the insti, get a job and then
"
3134,"pay for it.”
"
3135,"“that’s tough,” ryan noted, who had just joined us after waking up from his royal siesta.
"
3136,"“but it is my duty man and i love them. i don’t see it as trouble,” alok said dully.
"
3137,"“so what job are you going to take up?” i said.
"
3138,"“whichever pays the most, i don’t care,” alok said.
"
3139,"“that is crap. don’t you want to do something you really like?”
"
3140,"“t like money,” alok said as he finished his food. until he had the money, paranthas
"
3141,"would do.
"
3142,"we were mid-way through the semester now, and every now and then i would start
"
3143,"thinking about my goal — to do well in indem. by third year, ever y iitian knows his place.
"
3144,"we were now five-pointers frozen in our place; we had modest expectations, and our grades
"
3145,"never disappointed us. however, 1n indem i wanted an a, something that had never been on
"
3146,"my grade sheet. alok warned me about my lofty ambition. “cherian will chew you alive
"
3147,"man. you hardly sleep these days. you know he gives only two or three as, right?”
"
3148,"“i do. but i have to give it my best. it is not just a stupid grade, but neha at stake.”
"
3149,"“how much have you scored so far in the assignments?”
"
3150,"“thirty-three out of forty. worked like a dog on all of them.”
"
3151,"“yes right. you need eighty total to get an a.”
"
3152,"“t know, out of that the viva is ten, and the major ts fifty.”
"
3153,"“so unless you get almost a full score in the majors, you have to do decently in the
"
3154,"vivas.”
"
3155,"“t know. so this time, i have to pull it through,” i said, abjectly nervous at the thought.
"
3156,"“just relax man, a b won’t be that bad.”
"
3157,"“an a alok, i want an a.”
"
3158,"“fine then. all the best,” alok said as sasi delivered more paranthas.
"
3159,"“how 1s your girl?” ryan said.
"
3160,"“neha 1s fine. just took me to the place where her brother met with the accident. isn’t that
"
3161,"weird?” i said.
"
3162,"“maybe because you are special. and the place holds special meaning for her,” alok
"
3163,"shrugged.
"
3164,"“fatso is right. she likes you man,” ryan said. “when did her brother die anyway?”
"
3165,"“around three years ago. may 11 to be precise. he had gone jogging when they got a call
"
3166,"mid-morning, hit by a ring railway train.”
"
3167,"“wow, that 1s incredible,” alok said, “and i thought no one used the ring railway.”
"
3168,"“he wasn’t using it fatso. he just got hit by it,” ryan clarified.
"
3169,"“yes, pretty gory.” i rolled my eyes.
"
3170,"“though who goes jogging on a bloody hot may morning?” ryan wanted to know.
"
3171,"“shut up man. the guy is dead, and you are making fun of him,” i protested.
"
3172,"“no. that is not what i mean. i mean, hey fatso, what time does the first ring railway
"
3173,"train run?”
"
3174,"“t don’t know,” alok said, busy eating his paranthas and somewhat pissed at the frequent
"
3175,"reference to him as fatso.
"
3176,"“t know, ten i think. why?” i said.
"
3177,"“well, think about it, ten in the morning in may. i think it 1s close to forty degrees and
"
3178,"crap hot. who goes jogging on a may morning?”
"
3179,"“well, he did. otherwise he wouldn’t have died, right?” alok said, obviously irritated.
"
3180,"he never went jogging, so i guess he didn’t know better.
"
3181,"“t know he died. but my point 1s...” ryan said, “anyway, forget it.”
"
3182,"“what? i want to know,” i said.
"
3183,"“my point is, was it an accident at all.”
"
3184,"i woke up with a headache on the day of cherian’s viva. there were a couple of weeks left
"
3185,"until the majors, but today would seal my indem fate. “try to sleep, try to sleep,” i had told
"
3186,"myself about a million times the night before, all to no use.
"
3187,"“god, you look a mess,” ryan greeted in the toilet as we were shaving together.
"
3188,"“couldn’t sleep much. hell, i know i am going to screw this one up,” i said and slapped
"
3189,"water on my face.
"
3190,"ryan pressed the nozzle of his gillette shaving gel and prepared his twin-blade sensor
"
3191,"razor. his parents had sent him all these contraptions to look even better as if the guy
"
3192,"needed to improve his looks. why couldn’t he get a few pimples now and again like say
"
3193,"alok?
"
3194,"“listen hari,” ryan said making clean strokes across his cheek, “you have busted your
"
3195,"ass for this course already. you mess this up, and there 1s no hope for you man. you
"
3196,"probably know the answers better than anyone else.”
"
3197,"“since when has knowing the answers been a problem? and this 1s cherian, even normal
"
3198,"guys get scared,” i said.
"
3199,"“see, i am not even going for his viva. but if you are so scared, i have an idea.”
"
3200,"“you aren’t coming? ryan, it is ten percent. and cherian will go ape-shit if a student
"
3201,"doesn’t even come to the viva.”
"
3202,"“t have vowed not to view that bastard’s face as much as i can. and who cares about ten
"
3203,"percent, i don’t have to impress the dad.”
"
3204,"“up to you. i still think you should come. anyway, what is your idea?”
"
3205,"“t don’t know if it will work.”
"
3206,"“just tell me man. i am desperate,” i said.
"
3207,"ryan wiped his face with a towel. he opened a bottle of some fancy overpriced
"
3208,"american aftershave and splashed it liberally on his cheeks.
"
3209,"“vodka: the solution to all problems.”
"
3210,"“what? vodka? iam talking about a viva ryan, i am not organizing a party.”
"
3211,"“it know. but you know how vodka makes one less inhibited and makes you talk more?
"
3212,"who knows, a couple of swigs and it may work for you.”
"
3213,"“you are crazy. the viva is at eleven in the morning. it is hardly the time to drink...”
"
3214,"“tf you get a zero 1n his viva, you think neha will ever introduce you to daddy?”
"
3215,"the image of a zero and a b or c in indem flashed across my mind. “how much?”
"
3216,"“just a couple of shots. come, i have some 1n my closet.”
"
3217,"i went to ryan’s room where amidst branded clothes he hid his stash of alcohol.
"
3218,"alongside the bottle were envelopes, all with us stamps.
"
3219,"ryan poured vodka in a steel glass, making it a third-full.
"
3220,"“what are those envelopes?” i said.
"
3221,"“nothing. here, one shot... one, two, three,” ryan said.
"
3222,"i couldn’t believe the envelopes were unimportant. i mean, there were like a hundred of
"
3223,"them literally.
"
3224,"“letters from your parents, aren’t they?” i hazarded a guess.
"
3225,"“yeah. here have another one,” ryan said.
"
3226,"“you sure this won’t be too much?” i said.
"
3227,"“no. in fact have a third one just to be sure. here, i'll accompany you.”
"
3228,"with that, ryan joined me in my third shot. the vodka went down like a fireball, hitting
"
3229,"my empty stomach, spearing my intestines.
"
3230,"“all right then, off i go to meet the daddy,” i said cheerfully.
"
3231,"“all the best, hari. and listen, just don’t tell alok about the envelopes.”
"
3232,"“tell what?” i said. i hardly knew anything about them and i wouldn’t have if ryan hadn’t
"
3233,"mentioned it.
"
3234,"“nothing, just don’t mention it. they write ever y week, and send a cheque once a month.
"
3235,"i never reply, that is all.”
"
3236,"“why don’t you reply?” i asked, basking in the spirit inside of me.
"
3237,"“°’cause i hate them. actually, i don’t care about them. i mean, neither do they about me.
"
3238,"so why pretend?”
"
3239,"ryan said. “ryan, you know this whole big deal you make about not caring about your
"
3240,"parents?” the vodka spoke for me.
"
3241,"“yeah, what about that?’’
"
3242,"“t don’t think it is true. i mean, how can it be true?” i said, ignoring his hostile stance. i
"
3243,"kind of meant it. with all the gillette and aftershaves they sent, how could he not love them?
"
3244,"“tt’s true. you are a kid in life man, just go give your viva,” ryan said and lit up a
"
3245,"cigarette. smoke made the man more profound.
"
3246,"“t am going. but if it were true, why would you keep all the letters?” i asked, beating a
"
3247,"retreat.
"
3248,"cherian was already in class. my turn came 1n ten minutes and i sat next to alok.
"
3249,"“where is ryan?” he whispered, flipping through his notes. alok always revises until the
"
3250,"last minute.
"
3251,"“he is skipping it,” i said.
"
3252,"“what? he 1s crazy man,” he shook his head.
"
3253,"“says he doesn’t care. just as he doesn’t for his parents,” i said, obviously the second
"
3254,"phrase came because of the vodka.
"
3255,"“are you okay, hari? you sound kind of garbled. and what 1s that smell... wait have you
"
3256,"been drinking?”
"
3257,"“shh...keep quiet. just a little bit. ryan said it helps relax.”
"
3258,"“ryan, ryan, ryan. do you ever think for yourself?” alok said.
"
3259,"“hari,” prof cherian called my name even before i could answer alok. my moment was
"
3260,"here. my first a was to be decided 1n the next five minutes.
"
3261,"“so, what is the japanese system for manufacturing that lowers inventories?” prof
"
3262,"cherian started as usual without any greetings or pleasantries. just a straight firm voice like
"
3263,"from a machine.
"
3264,"“good morning, sir,” i said.
"
3265,"“good morning, hari. now answer my question.” his eyes looked like big, bulging
"
3266,"versions of neha’s eyes.
"
3267,"“good morning, sir,” i said again, to kick-start my brain.
"
3268,"“that is fine, hari. now answer please, 1f you don’t mind.”
"
3269,"“sir, the japanese inventory lowering system...” i began.
"
3270,"“yes, that one. you know the answer or not?” prof cherian said, his voice getting louder.
"
3271,"“t sir... i sir...” i said.
"
3272,"“tt is jit or just in time. cannot believe students today cannot answer such simple
"
3273,"questions. next one, what is the difference between assembly line and _ batch
"
3274,"manufacturing?”
"
3275,"“sir, very simple question sir... hic,” i said.
"
3276,"“why are you talking like that? and what is this smell? are you drunk mr hari? are you
"
3277,"drunk in my class?”
"
3278,"“no sir, sir, | actually know answer, sir,” i reiterated desperately.
"
3279,"“you are actually drunk. the guts of these students today!” prof cherian said and threw a
"
3280,"piece of chalk right at me. it hit me on the chest and hurt a little. even though i was drunk, i
"
3281,"knew something was going wrong. i was actually speaking at this viva, but not making any
"
3282,"sense.
"
3283,"“sir,” i said.
"
3284,"“get out of my class now. get out now.” prof cherian’s face turned red and he slammed
"
3285,"his files on the desk.
"
3286,"i picked up my notebook to leave when cherian came toward me. he took out a red pen
"
3287,"and marked a circle on my sheet. then he made another circle over it.
"
3288,"“zero, that is what you deserve. i wish i could give you negative,” he said, “and you
"
3289,"better do well in your majors for i am not going to let you get away from this that easy.”
"
3290,"i kept quiet. all those shots for a zero, which i could have earned myself anyway with or
"
3291,"without vodka.
"
3292,"“fuck!” ryan slammed a fist against his palm when he heard the story back in kumaon.
"
3293,"“what fuck? who told you to suggest such a weird idea?” alok said.
"
3294,"“t thought it would work but the shots were too big,” ryan said. he was playing with a
"
3295,"basketball, bouncing it back and forth on the wall.
"
3296,"“will you cut out that noise?” alok said, “so what are you going to do now har1?”
"
3297,"“do what? i lose the a for sure. and cherian thinks ’'m a drunkard. way to go for his
"
3298,"daughter’s boyfriend,” i said, covering my face with my hands.
"
3299,"thump, thump, thump. ryan kept silent as the only noise he made was with the ball.
"
3300,"“stop it,” alok said, grabbing the ball from ryan, “say something solid now!”
"
3301,"“alok!” someone shouted from outside. it was the security guard downstairs.
"
3302,"“phone call for alok,” the guard shouted.
"
3303,"“must be from home,” alok said, “come hari, no point discussing indem now.”
"
3304,"i came down with alok if for nothing else but to be distracted from the indem fiasco.
"
3305,"“hello, mummy. how are you? yes, i know i have not come home for a long time,” alok
"
3306,"said on the phone.
"
3307,"“what? didi got engaged? oh, you mean the boy’s side have agreed,” alok said, his
"
3308,"voice excited.
"
3309,"“yes, iam really happy, how 1s dad...i know... of course ll pay for everything once i
"
3310,"get ajob mom... yes, you are taking a loan for gifts...”
"
3311,"i could hear only half the conversation, but could pretty much figure out what was going
"
3312,"on. alok’s parents had finally managed to palm off their daughter to someone. as he
"
3313,"explained later, the groom’s family wanted a maruti car in dowry, but had agreed to defer it
"
3314,"until alok passed out and started working. that’s when the marriage would take place but at
"
3315,"least they had a deal.
"
3316,"“congratulations, your sister 1s getting married. is your family excited? or like sad or
"
3317,"something since she’ll go away?” i said to alok after the call.
"
3318,"“they are relieved more than anything i think. i just hope i get a job that pays for this
"
3319,"damn affair. apart from the car, there will be a function as well.”
"
3320,"“why don’t you guys marry her off later? what is the big hurry?”
"
3321,"“the older she gets, the more dowry people will demand. waiting will mean more
"
3322,"expense later. i’m happy the deal is cut.”
"
3323,"it sounded like credit card debt. if you don’t get rid of it now, it will cost you a lot more
"
3324,"later. the relief was understandable.
"
3325,"“what does the groom do?” i said.
"
3326,"“oh. i don’t know. i forgot to ask,” alok said.
"
3327,"several weeks later, we were 1n the kumaon mess eating dinner. it was thursday i guess,
"
3328,"for that is when kumaon had ‘continental’ dinner. in reality, it was just an excuse for mess-
"
3329,"workers to not give us real food. the menu sounded nice — noodles, french fries, toast and
"
3330,"soup. it tasted awful. the cooks made the noodles in superglue or something — they stuck to
"
3331,"each other as one composite mass 1n the huge serving pan. the french fries were cold and
"
3332,"either extremely undercooked or burnt to taste like coal. the cream of mushroom soup could
"
3333,"have been mistaken for muddy water, only it was warmer and saltier.
"
3334,"“this is bad man,” alok said as his noodles refused to vacate his fork, “i told you let’s
"
3335,"go out.”
"
3336,"“t didn’t know it would be so bad. and the semester is almost over. i am totally out of
"
3337,"cash.”
"
3338,"“that is right actually,” alok said, “better start studying for the majors. less than ten days
"
3339,"now.”
"
3340,"“yes, not that i care now. after indem messed up, i don’t really care beyond passing each
"
3341,"course.”
"
3342,"“ryan, i think you should focus on indem. cherian didn’t like you missing the viva. he
"
3343,"smirks when he mentions your name in class attendance.”
"
3344,"“t know,” ryan said, dropping his half-eaten french fry in disgust, “i got sixteen out of
"
3345,"forty in quizzes and zero in viva. need twenty-four out of fifty 1n majors to pass it.”
"
3346,"“not that easy,” i pointed out the obvious.
"
3347,"“worse case, i flunk. so what?” ryan said and tried the soup. without caring for
"
3348,"etiquette, he spewed the contents out from his mouth back into the bowl.
"
3349,"“cherian will make you do it again, it’s a core course,” alok said. “like drinking the
"
3350,"soup you just spat out.”
"
3351,"“fuck,” ryan said. i wasn’t sure if his comment was aimed at the food or the prospect of
"
3352,"repeating cherian’s course.
"
3353,"“man, if only i had an a, i could finally get neha...” i said.
"
3354,"“t think we can still do something,” ryan said.
"
3355,"“what? drink enough to forget neha?” i mocked.
"
3356,"“no. if you completely crack the majors, you can still make it, right?”
"
3357,"“t have thirty-three on forty, need eighty for an a. major is fifty points. how am i going to
"
3358,"get forty-seven on fifty?”
"
3359,"“no way man. ryan, don’t trouble the guy more. it 1s over.”
"
3360,"“tt is not over, my friends, it never is. if i tell you that you can get a perfect score in
"
3361,"majors, will you believe me?”
"
3362,"“don’t be crazy. i’d have to spend twenty hours a day on indem and will probably not
"
3363,"make it. cherian’s major test will be full of surprise questions. i am screwed...” i lamented.
"
3364,"“what if you knew the questions?” ryan said.
"
3365,"“what if; what if? ryan, are you dreaming?” alok said.
"
3366,"“no i am not dreaming, fatso. i am trying to help my friend. i think we can get the major
"
3367,"paper.”
"
3368,"“how?” i was arrested.
"
3369,"“by sneaking it out of cherian’s office,” ryan said.
"
3370,"alok and i fell silent for a full minute, took us around that much time to digest the
"
3371,"preposterousness of the idea, along with the unpalatable food.
"
3372,"“you mean steal it? steal a bloody major paper from an iit prof? is that what you said?”
"
3373,"alok said.
"
3374,"“don’t make it sound so dramatic. it is not such a big...”
"
3375,"“are you nuts? tell me, are you nuts?” alok said and walked out of the mess. i went out
"
3376,"as well, preoccupied with my coming encounter with neha, especially with how i could
"
3377,"dismiss my past encounter with daddy dearest.
"
3378,"15
"
3379,"operation pendulum
"
3380,"the next day at kumaon lawns ryan was his lordly best. “guys, just
"
3381,"listen to me.”
"
3382,"“no way, you can’t do this. please, stop this nonsense,” alok said.
"
3383,"“he has a point,” i conceded, not fully sure of what it was though.
"
3384,"“can you guys just listen to me for a minute? you don’t have to do anything,” ryan said,
"
3385,"sounding almost reasonable.
"
3386,"“sure,” i said.
"
3387,"“we have lived in this place for three years, right? and what have we got?” ryan said.
"
3388,"“oh, don’t start about the system being crappy, ryan. just come to the point,” alok said.
"
3389,"“t will, i will,” he said, realizing that he didn’t exactly have a patient audience in hand.
"
3390,"he took out a sheet from his pocket — two a4 sized sheets stuck together — and laid it out on
"
3391,"the grass. employing two pebbles as paperweight, he began with a flourish, “this,
"
3392,"gentlemen is a map of the insti building. all profs get the major papers ready and printed a
"
3393,"week prior to tests but our cherian’s a paragon, so his must be ready even earlier. here,
"
3394,"cherian’s office is on the sixth floor. the roof is on the ninth floor...”
"
3395,"ryan’s face was intense like alok’s while writing his exam paper. this was not a casual
"
3396,"conversation; he had pondered over this for a while.
"
3397,"“t told you the whole idea was crap. how can you force these details on us as if we’ve
"
3398,"said yes,” alok said.
"
3399,"but that is how ryan is, he decides, and then he proposes, and then he does whatever he
"
3400,"wants to anyway.
"
3401,"“ryan, what is all this man?” i said.
"
3402,"“just listen to me. hari, i could get you the a grade you want here. imagine, your girl will
"
3403,"finally not be ashamed to acknowledge you. and you too fatso, an a won’t look so bad on
"
3404,"your grade sheet when you apply for jobs either.”
"
3405,"“but it is so warped, so...so wrong,” alok protested, looking at me for support against
"
3406,"ryan’s latest madness. but i was already thinking of walking hand in hand with neha in the
"
3407,"insti gardens when the moon was out. could i really get an a?
"
3408,"“tt 1s wrong only if you get caught right?”
"
3409,"it was kind of hard to argue with ryan’s logic, especially if you were dreaming about
"
3410,"your beautiful girlfriend at that time. yes, it is a crime only if someone catches you.
"
3411,"otherwise, it is just a neat plan.
"
3412,"“but...” alok tried again.
"
3413,"“anyway, let me finish,” ryan said, without letting alok finish now that i looked half way
"
3414,"there.
"
3415,"“the roof is on the ninth floor. so, if i suspend myself with ropes and then sail down to
"
3416,"cherian’s window, i can get to his room. you guys can help me, just like we got hari into
"
3417,"neha’s room.”
"
3418,"“are you crazy? neha’s room was easy, no ropes or anything. and the insti building is
"
3419,"nine floors high,” i said.
"
3420,"“t am not scared. i have done rock climbing in school,” ryan said.
"
3421,"“what if the window is not open?” alok said.
"
3422,"i could see ryan liked alok’s question. not only because ryan had thought about it
"
3423,"before, but because it meant alok was buying into this. but wait a minute, was i on board
"
3424,"with this just because it was ryan? an a would be nice though.
"
3425,"“yes, what about the window?” i said.
"
3426,"“the insti windows have latches that are weaker than rubber bands. they are the same
"
3427,"windows as in kumaon hostel. one bang on the back and it opens.”
"
3428,"“still, you will suspend yourself from the roof?” i said.
"
3429,"“t said i wasn’t scared.”
"
3430,"“what if someone sees us?” i said.
"
3431,"that is the thing about ryan. he is brilliant, but also fearless. this machismo might lead
"
3432,"to an over-confidence that could kill the plan.
"
3433,"“no one will see us,” ryan said.
"
3434,"“yeah right. just three guys hanging on to the insti roof as usual. institute security
"
3435,"wouldn’t care, eh?” alok smirked.
"
3436,"“fatso, it will be super dark,” ryan said.
"
3437,"“but we could make a noise, or the movement could be seen by the security jeeps on the
"
3438,"roads. remember, we are not on the roof, but hanging by the sides. we just might be seen.”
"
3439,"“c’mon guys...” ryan said, looking bored.
"
3440,"“too risky. forget it,” alok said, tearing blades of grass. i had to nod, too. besides, just
"
3441,"the thought of ryan bungee-jumping upward made me sweat.
"
3442,"“well, you got any better ideas?” ryan said, irritated.
"
3443,"“what were you planning to do next anyway?” my curiosity got the better of me.
"
3444,"“okay, here are the next steps,” ryan pointed to the side of the paper. “one, switch on
"
3445,"light on the opposite right wall. two, scan the room for a sealed brown bag. three, open the
"
3446,"seal with a knife, and take out one copy of major paper. four, using a candle and fresh seal,
"
3447,"fasten the bag back. five, get the hell out of there.”
"
3448,"“sounds simple enough after that,” alok said, “but i guess we can’t get in. let’s go now,
"
3449,"i’m hungry.”
"
3450,"“there could be a way,” i said.
"
3451,"“what?”
"
3452,"“through the door. his main regular office door,” i said.
"
3453,"“how? break the lock? of course, you know that is impossible, with the noise and
"
3454,"everything. and he’ll know the next day,” ryan said.
"
3455,"“no lock breaking. just get in elegantly with the key,” i said.
"
3456,"“key? where the hell will you get the key?” alok said.
"
3457,"“from neha’s car keys. her dad’s office keys are in the bunch,” i said.
"
3458,"everyone fell silent for five seconds. it was the silence of admiration for sheer brilliance.
"
3459,"“wow. i guess you just have to steal the keys then,” alok said.
"
3460,"“why not just sneak them out for half an hour and make a duplicate?” ryan said.
"
3461,"“t guess. not the easiest thing to do, but can be done,” i said, and smiled smugly at my
"
3462,"own genius. cherian’s office was an open door.
"
3463,"“hari, you are a killer man. that is awesome,” ryan said.
"
3464,"he finalized the revised plan again. it seemed simple enough now, and we had invested
"
3465,"too much time 1n it to walk away from it.
"
3466,"“so we go up at night, just as we go to the roof for the vodka. but we stop at the sixth
"
3467,"floor and raid cherian’s office,” ryan said.
"
3468,"“not raid, just turn the key and slide in,” i said, impersonating a mock key with my
"
3469,"fingers.
"
3470,"“yes, up yours cherian,” ryan poked air with his middle finger. we all laughed and
"
3471,"shook hands.
"
3472,"“let us give this operation a name. something sexy, something unsuspicious and simple.”
"
3473,"“something that will swing our miserable fortunes in this place,” i said.
"
3474,"“yes, this swinging operation can be called operation pendulum,” ryan said.
"
3475,"and on that bright lawn with our sun-lit eyes, we blithely cheered in unison, “operation
"
3476,"pendulum!”
"
3477,"16
"
3478,"the longest day of my life i
"
3479,"they say no one day can be too significant in your life, but i tell you the
"
3480,"day of operation pendulum was the most memorable and longest of all my iit days. each
"
3481,"moment, each event is vivid and fresh in my mind as if it happened yesterday. it was the day
"
3482,"that changed our lives, or at least changed us.
"
3483,"there was no formal date set for operation pendulum. it was kind of like, we’d do it the
"
3484,"day i got the key thing done. the majors were less than a week away, so we were sure
"
3485,"cherian would have the papers by now. and of course, we’d need some time to figure out
"
3486,"the answers to those questions. so the sooner the better.
"
3487,"april 11, the day of operation pendulum, a day that started with my date with neha. i
"
3488,"should have seen the signs the moment neha told me she’d sprained her ankle.
"
3489,"“what?” i said over the phone, “i am dying to meet you. don’t cancel today. the majors
"
3490,"will begin after that.”
"
3491,"“but hari, i can’t even walk ten steps. please, can’t we do it some other time?”
"
3492,"“can i just see you for half an hour. how about i come home?”
"
3493,"i knew neha’s mom would not be at home that day. it was the eleventh, the day she went
"
3494,"to that temple by the tracks and sobbed for her son. that is why neha had agreed to the date
"
3495,"in the first place.
"
3496,"“home? are you mad? what if someone sees you?”
"
3497,"“third year is ending, can you stop being so scared?”
"
3498,"“but...”
"
3499,"“and what if i get an a, you'll introduce me then anyway right?”
"
3500,"“okay, but only for half an hour. and come exactly at 11.30, so i'll leave the doors open,”
"
3501,"she said.
"
3502,"“great. pl see you then,” i said, keeping the phone down with a sigh of relief. i just had
"
3503,"to see her that day, or rather see her car.
"
3504,"“everything okay?” ryan quizzed as i left kumaon.
"
3505,"“of course. see you 1n two hours,” i said.
"
3506,"“shh, quiet, just come in quickly,” neha said, whispering quite unnecessarily.
"
3507,"“no one is here,” i said.
"
3508,"“you're crazy. so, why the big urge to see me today?” neha said, leading me to her room.
"
3509,"“well, you know third year is ending and majors and everything,” i said, my eyes roving
"
3510,"around the room to spot any key-racks.
"
3511,"“so?” neha said.
"
3512,"“so i thought meeting you would be good luck for the exams,” i said sitting down on the
"
3513,"bed by her side.
"
3514,"“wow, how romantic!” she said, “and i thought my loafer was pining for me and dying for
"
3515,"me and whatever...”
"
3516,"“oh, i was,” i said and leaned forward to hug her. it was true. i was always pining for
"
3517,"her. she looked beautiful. even with her sore ankle, all pink and wrapped in a crepe
"
3518,"bandage, she managed to look beautiful.
"
3519,"“ouch, careful,” she said, pushing me back on the bed, “i know what you pine for.”
"
3520,"“what?”
"
3521,"“my body, not me,” she said, nose up in air.
"
3522,"what 1s the difference? i thought. you just cannot understand girls sometimes.
"
3523,"“that is not true,” i said, just guessing that it would be the right response.
"
3524,"“come here,” she called me and kissed me.
"
3525,"“when does mom get back?”
"
3526,"“in two hours. you know, samir bhatyya’s date.”
"
3527,"“t know, it’s the eleventh. you know neha, i wanted to ask you about that.”
"
3528,"“what about 1t?”
"
3529,"“t was talking about it to ryan...”
"
3530,"“you talked about samir to ryan?”
"
3531,"“no, just discussing how he well, died. you know the jogging and everything.”
"
3532,"“so?”
"
3533,"“so ryan made a point. a good point.”
"
3534,"“what was that?”
"
3535,"“that who goes jogging on a hot may morning?”
"
3536,"she fell silent, released me from her hug and sat away.
"
3537,"“neha?” i prompted.
"
3538,"“hari,” she said and sobbed, “hari, i didn’t want to tell you this, but i have to.”
"
3539,"“what?”
"
3540,"“wait,” she said and went to open her cupboard. a bright mélange of clothes appeared,
"
3541,"quite unlike an average kumaon guy’s closet. neha took out a folded piece of paper. “read
"
3542,"this,” she said.
"
3543,"i opened the page and my eyebrows jumped up in shock, it was signed samir.
"
3544,"dear neha,
"
3545,"i love you my little sister, as much as the day i first held you in my arms when you were
"
3546,"born. i was so proud that day, and will remain so forever.
"
3547,"neha, can you keep a secret? by the time you get this, i may not be in this world. but
"
3548,"you must understand that no one in the world must know of this letter.
"
3549,"i have tried three times to get into iit; and each time i have disappointed dad. he
"
3550,"cannot get over the fact that his son cannot handle physics, chemistry and maths. 1
"
3551,"cannot do it neha, no matter how hard i try, no matter how many years i study or how
"
3552,"many books i read. i cannot get into itt. and i cannot bear to see dads eyes.
"
3553,"he has seen thousands of iit students in his life, and cannot see why his own son
"
3554,"cannot make it. well neha, he sees the students who make it, but he doesnt see the
"
3555,"hundreds of thousands who don't make it. he has not spoken to me for two months. he
"
3556,"doesnt even talk to mom properly because of me. what can i do? keep trying until i die?
"
3557,"or simply die?
"
3558,"tf anyone finds out that i took my own life, mom would probably not be able to survive.
"
3559,"but i had to tell someone — and who else but you. i love you neha. and you tell them i
"
3560,"went jogging.
"
3561,"yours in eternity,
"
3562,"samir
"
3563,"“what the heck is this,” i said, feeling creepy . it is not ever y day that you hold a suicide
"
3564,"note in your hand.
"
3565,"“tt’s true. i should have never told you. but i’m so close to you and you start all this
"
3566,"investigation thing and...” she burst into tears.
"
3567,"“listen, now calm down,” i said, speaking more to myself than to her. she stopped crying
"
3568,"after five minutes and i gave her a glass of water.
"
3569,"“you want to know what happened in my viva?” maybe it would make her laugh. “ryan
"
3570,"made me have vodka shots,” i said.
"
3571,"neha lifted her head up and squeaked, “that was you? dad mentioned it. that was you?”
"
3572,"she started hitting me with a pillow. she was laughing again. she looked beautiful, and i
"
3573,"could have sat there admiring her beauty forever but i was on a mission today, to get the
"
3574,"keys for operation pendulum.
"
